,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,raga
0,0.031511366,0.31760347,1708.0034230999518,2073.255114789387,3612.529119128078,0.06093582708779443,-322.8438,109.45985,-2.0445468,7.5183177,-11.074583,5.31338,-22.433044,-11.289671,-8.702506,-8.501856,-9.121349,-2.4496276,-11.605868,purna chandrika
1,0.031511366,0.31760347,1708.0034230999518,2073.255114789387,3612.529119128078,0.06093582708779443,-322.8438,109.45985,-2.0445468,7.5183177,-11.074583,5.31338,-22.433044,-11.289671,-8.702506,-8.501856,-9.121349,-2.4496276,-11.605868,purna chandrika
2,0.044276357,0.3382397,1690.2411392090664,2038.245137041176,3691.999088262848,0.06004186462794433,-244.12134,118.93451,-5.504768,12.037164,-20.277803,9.172882,-22.398329,-12.889206,-6.194196,-10.40805,-11.628651,0.36844388,-13.271333,purna chandrika
3,0.033655334,0.28371522,1707.1629375356795,2062.905089466896,3553.4857216943255,0.06313779777837258,-298.48642,111.78105,0.33006504,12.399558,-15.397969,5.719809,-20.228254,-10.876355,-11.663799,-9.163312,-11.074248,-1.7877982,-10.51955,purna chandrika
4,0.051187854,0.28782982,2224.9452325747384,2284.7998498376037,4762.157784896948,0.0805559505487152,-224.02823,87.893936,-7.011757,16.922638,-22.737362,11.527616,-34.319733,-6.622852,-3.1805782,-10.729729,-11.729633,4.459792,-18.696102,purna chandrika
5,0.03967566,0.31178656,1940.168510516216,2195.0973884375744,4273.649175672511,0.06931711723768737,-251.25723,106.55063,-2.9708154,11.02727,-20.746483,9.867361,-23.283245,-12.254211,-5.4045424,-9.534212,-11.839189,2.358847,-14.105414,purna chandrika
6,0.041926514,0.2980629,1659.646269024425,2116.253987026411,3619.0305787439775,0.054023562968415414,-292.6514,113.94553,13.516137,18.401152,-13.691669,11.1253805,-23.66162,-6.1783442,-9.743472,-15.642095,-12.804997,1.3947312,-15.434963,purna chandrika
7,0.04624555,0.3145268,1923.433086403001,2199.456329447121,4286.283217762982,0.0642680590872591,-237.3,109.57977,1.1045202,12.12879,-22.831182,14.06861,-28.05353,-8.900614,-5.9561453,-11.639993,-9.424194,1.4955978,-17.05604,purna chandrika
8,0.04874133,0.31591356,1856.5790725710494,2114.0371917596544,4059.262392097163,0.06777071901766596,-228.33063,115.46594,-3.7625484,8.341998,-28.193958,13.545608,-21.642056,-12.4028225,-7.5247183,-5.282181,-7.0241466,2.4892545,-13.022511,purna chandrika
9,0.04303667,0.32294425,1928.4787537534687,2152.4870232385097,4203.0553127509365,0.07227817184154176,-229.70798,109.31964,-10.168891,10.280636,-23.430752,11.130614,-20.728638,-11.493747,-8.872085,-9.6764555,-10.660549,2.4805357,-11.218658,purna chandrika
